#Sets
set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17; 
set B:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;
set F := 1 2 3 4 5 6 7;
set T := c1 c3 c4 c5 c6 c7 c11;
set L :=l1 l3 l4 l5 l6 l7 l11;
#Product dimensions (cm) & weight (gram)
param WG :=
1   500
2   1
3   2000
4   160
5   2480
6   1
7   80
8   80
9   40
10  28.7
11  20
12  30
13  50
14  160
15  22.22
16  20
17  160
;
	  
param lp :=
1   20
2   1
3   48
4   23
5   23
6   1
7   17
8   17
9   22
10  13
11  12
12  3
13  6
14  6
15  15
16  12
17  6
;
	  
	  
param wp :=
1   2
2   1
3   20
4   10
5   19
6   1
7   2 
8   2 
9   7
10  2
11  5
12  3
13  6
14  5
15  7
16  6
17  5
;
	  
param hp :=
1   4
2   1
3   47
4   6
5   46
6   1
7   11
8   11
9   3
10  8
11  1
12  11
13  2
14  10
15  23
16  3
17  13
;
      
      

	  
# Carton dimensions (cm) & capacity (gram)
param LB :=
1   50
2   50
3   50
4   50
5   50
6   50
7   50
8   50
9   50
10  50
11  50
12  50
13  50
14  50
15  50
16  50
17  50
18  50
19  50
20  50
;
       
param WB :=
1   60
2   60
3   60
4   60
5   60
6   60
7   60
8   60
9   60
10  60
11  60
12  60
13  60
14  60
15  60
16  60
17  60
18  60
19  60
20  60
;
       
param HB :=
1   70
2   70
3   70
4   70
5   70
6   70
7   70
8   70
9   70
10  70
11  70
12  70
13  70
14  70
15  70
16  70
17  70
18  70
19  70
20  70
;
       
param CB :=
1   5000
2   5000
3   5000
4   5000
5   5000
6   5000
7   5000
8   5000
9   5000
10  5000
11  5000
12  5000
13  5000
14  5000
15  5000
16  5000
17  5000
18  5000
19  5000
20  5000
;

# Container dimension (cm) & capacity (gram)
param LT:=
       c1 600
       c3 600
       c4 600
       c5 600
       c6 600
       c7 600
       c11 600;

param WT:=
       c1 244
       c3 244
       c4 244
       c5 244
       c6 244
       c7 244
       c11 244;
    
param HT:=
		c1 260
		c3 260
		c4 260
		c5 260
		c6 260
		c7 260
		c11 260;
	
	
param CT:=
	 	c1 28350000
	 	c3 28350000
	 	c4 28350000
	 	c5 28350000
	 	c6 28350000
	 	c7 28350000
	 	c11 28350000 ;


# Product-family assignments

param e :
    1   2   3   4   5   6   7:=
1   1   0   0   0   0   0   0
2   0   1   0   0   0   0   0
3   0   1   0   0   0   0   0
4   0   1   0   0   0   0   0 
5   0   0   1   0   0   0   0 
6   0   0   0   1   0   0   0
7   0   0   0   0   1   0   0
8   0   0   0   0   0   1   0
9   0   0   0   0   0   1   0
10  0   0   0   0   0   0   1
11  0   0   0   0   0   0   1
12  0   0   0   0   0   0   1
13  0   0   0   0   0   0   1
14  0   0   0   0   0   0   1
15  0   0   0   0   0   0   1
16  0   0   0   0   0   0   1
17  0   0   0   0   0   0   1
;

param g:
	          l1 l3 l4 l5 l6 l7 l11:=
	    b1    1  0   0  0  0  0  0
	    b3    0  1   0  0  0  0  0
	    b4    0  0   1  0  0  0  0 
	    b5    0  0   0  1  0  0  0
	    b6    0  0   0  0  1  0  0
	    b7    0  0   0  0  0  1  0
	    b11   0  0   0  0  0  0  1
	    ;
   		
   		

	   
# Cost and big-M

param alpha := 10;  #cost per carton used
param beta := 500; #cost per container used
param M     := 1000000; #large constant
param alpha_supp := 1;# minimum percentage of its bottom face supported by other items' top faces
param epsilon :=0.001;

 
 


      
