#Sets
set B := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37;
set F:= 1 2 3 4 5 6 7 8 9 10 11 12;
set T := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37;
set L :=1 ;


	  
# Carton dimensions (cm) & capacity (gram)

param: LB WB HB CB alpha :=
    1      42 32 26 34944 94  
    2      42 32 26 34944 94
    3      45.7 45.7 40.6 84793 156
    4      28 15 15 6300 32
    5	   28 15 15 6300 32
    6      28 15 15 6300 32
    7      28 15 15 6300 32
    8      28 15 15 6300 32
    9      28 15 15 6300 32
    10     28 15 15 6300 32
    11    42 32 26 34944 94
    12    42 32 26 34944 94
    13     28 15 15 6300 32
    14     28 15 15 6300 32
    15     28 15 15 6300 32
    16     28 15 15 6300 32
    17     28 15 15 6300 32
    18     28 15 15 6300 32
    19     28 15 15 6300 32
    20     28 15 15 6300 32
    21     28 15 15 6300 32
    22     28 15 15 6300 32
    23     28 15 15 6300 32
    24     28 15 15 6300 32
    25     28 15 15 6300 32
    26     28 15 15 6300 32
    27     28 15 15 6300 32
    28     28 15 15 6300 32
    29     28 15 15 6300 32
    30     28 15 15 6300 32
    31     28 15 15 6300 32
    32    28 15 15 6300 32
    33     28 15 15 6300 32
    34     28 15 15 6300 32 
    35     28 15 15 6300 32 
    36    28 15 15 6300 32 
    37    28 15 15 6300 32 ;



# Container dimension (cm) & capacity (gram)
param: LT		WT		HT			CT      beta:=
      1 605.8 243.8 259.1 2200000 31000
      2 605.8 243.8 259.1 2200000 31000
      3 605.8 243.8 259.1 2200000 31000
   	  4 605.8 243.8 259.1 2200000 31000
   	  5 605.8 243.8 259.1 2200000 31000
      6 605.8 243.8 259.1 2200000 31000
      7 605.8 243.8 259.1 2200000 31000
      8 605.8 243.8 259.1 2200000 31000
      9 605.8 243.8 259.1 2200000 31000
      10 605.8 243.8 259.1 2200000 31000
      11 605.8 243.8 259.1 2200000 31000
   	  12 235 158.5 30 1500000 29000
   	  13 235 158.5 30 1500000 29000
      14 235 158.5 30 1500000 29000
      15 235 158.5 30 1500000 29000
   	  16 235 158.5 30 1500000 29000
      17 235 158.5 30 1500000 29000
      18 235 158.5 30 1500000 29000
      19 235 158.5 30 1500000 29000
      20 235 158.5 30 1500000 29000
      21 235 158.5 30 1500000 29000
      22 235 158.5 30 1500000 29000
      23 140 90 95 180000 14500
  	  24 140 90 95 180000 14500
  	  25 140 90 95 180000 14500
  	  26 140 90 95 180000 14500
  	  27 140 90 95 180000 14500
  	  28 140 90 95 180000 14500
  	 29 140 90 95 180000 14500
  	 30 140 90 95 180000 14500
  	 31 140 90 95 180000 14500
  	 32 140 90 95 180000 14500
  	 33 140 90 95 180000 14500
  	 34 140 90 95 180000 14500
  	 35 140 90 95 180000 14500
  	 36 140 90 95 180000 14500
  	 37 140 90 95 180000 14500  ;
  	 
param q: 1 2 3 4 5 6 7 8 9 10 11 12 :=
1   1 0 0 0 0 0 0 0 0 0 0 0
2   1 0 0 0 0 0 0 0 0 0 0 0
3   1 0 0 0 0 0 0 0 0 0 0 0
4   0 1 0 0 0 0 0 0 0 0 0 0
5   0 0 1 0 0 0 0 0 0 0 0 0
6   0 0 0 1 0 0 0 0 0 0 0 0
7   0 0 0 0 1 0 0 0 0 0 0 0
8   0 0 0 0 1 0 0 0 0 0 0 0
9   0 0 0 0 1 0 0 0 0 0 0 0
10  0 0 0 0 1 0 0 0 0 0 0 0
11  0 0 0 0 1 0 0 0 0 0 0 0
12  0 0 0 0 0 1 0 0 0 0 0 0
13  0 0 0 0 0 1 0 0 0 0 0 0
14  0 0 0 0 0 1 0 0 0 0 0 0
15  0 0 0 0 0 1 0 0 0 0 0 0
16  0 0 0 0 0 1 0 0 0 0 0 0
17  0 0 0 0 0 0 1 0 0 0 0 0
18  0 0 0 0 0 0 0 1 0 0 0 0
19  0 0 0 0 0 0 0 0 1 0 0 0
20  0 0 0 0 0 0 0 0 1 0 0 0
21  0 0 0 0 0 0 0 0 1 0 0 0
22  0 0 0 0 0 0 0 0 1 0 0 0
23  0 0 0 0 0 0 0 0 1 0 0 0
24  0 0 0 0 0 0 0 0 0 1 0 0
25  0 0 0 0 0 0 0 0 0 1 0 0
26  0 0 0 0 0 0 0 0 0 1 0 0
27  0 0 0 0 0 0 0 0 0 1 0 0
28  0 0 0 0 0 0 0 0 0 1 0 0
29  0 0 0 0 0 0 0 0 0 1 0 0
30  0 0 0 0 0 0 0 0 0 1 0 0
31  0 0 0 0 0 0 0 0 0 1 0 0
32  0 0 0 0 0 0 0 0 0 1 0 0
33  0 0 0 0 0 0 0 0 0 0 1 0
34  0 0 0 0 0 0 0 0 0 0 1 0
35  0 0 0 0 0 0 0 0 0 0 0 1
36  0 0 0 0 0 0 0 0 0 0 0 1
37  0 0 0 0 0 0 0 0 0 0 0 1 ;


param g:
	      1 :=
	    1    1    
	    2    1    
	    3    1  
	    4    1  
	    5    1  
	    6    1   
	    7 	 1   
	    8	 1  
	    9    1  
	    10   1  
	    11   1   
	    12	 1  
	    
	    
	    ;
   		
   	
	   
# Cost and big-M

param M     := 1000000;
param beta_supp := 1;
